Company,Day,Date,Title,Apply,Location,Industry,Type,Description
Instacart,Friday,8/24/2018,Multiple Machine Learning & Data Scientist openings,Email,San Francisco,Ecommerce,Full Time,A passion for and track record of leveraging data to drive strategic company decisions and support key projects and initiatives
Environmental Defense Fund,Friday,8/24/2018,VoLo Data Science Fellowship,Website,"Boston, Washington, San Francisco, New York",Environment,Full Time,"Master’s degree in a quantitative discipline such as Mathematics, Computer Science, Physics, Statistics, Engineering, Economics, Bioinformatics, Computational Biology or related fields
3+ years of relevant work experience as a data scientist
Proficient in a scientific programming language such as Python, R
In-depth knowledge of the latest statistical and machine learning algorithms such as GBM, Light GBM, Random Forests, Neural Networks, Deep Learning as well as feature selection techniques
Experience with SQL
In depth knowledge of regression techniques: linear, ridge, logistical, etc. and able to interpret results
Ability to work independently and proficiently; accountable for own results
Ability to articulate technical data analytics concepts to managers and executives"
Federal Reserve Bank of NY,Tuesday,8/28/2018,Graduate Summer Associate Program- Data & Statistics Group,Website,New York,Finance,Full Time,"The mission of the Data Capabilities Office is to improve the FRBNY’s ability to effectively use data to support the FRBNY’s mission. The DCO is engaged in a multi-year effort to design and build out the FRBNY’s data management program.  The program is supported by two broad areas of practice, Analytics and Usability.   The Graduate Intern will contribute directly to meeting the Central Bank’s objectives towards driving our strategy on data, elevating the capacity for connecting and synthesizing the increasing scale of complex informational sources, and creating insightful analysis."
OccamzRazor,Tuesday,8/28/2018,Full Stack Engineer,Email,San Francisco,Technology,Full Time,"Strong software engineering experience in a technical domain
Knowledge of software design best practices
A willingness to develop a mutually shared knowledge base, and collaborate with our
biomedical research team.
Experience doing applied data science, or otherwise a general familiarity with the tips, tricks
and techniques for getting the most out of `real data’.
Experience deploying an ML based system commercially
Interest or experience in Machine Learning or statistical Natural Language Processing (other
relevant experience considered)."
Columbia School of Nursing,Wednesday,8/29/2018,Student Casual – Data & Visualization,Email,New York,Health,Internship,"Data from the patient safety climate and standard precaution surveys and observations will be pooled with HCW and HAI outcomes data and used to determine whether hospital units with better patient safety climate have better standard precaution adherence and have better HCW and patient outcomes. All multivariate analyses will be conducted at the hospital unit level of analysis and preceded by standard descriptive statistics to gain familiarity with the distributions and frequencies. Bivariate analyses will also be conducted to describe relationships among the key variables and include cross-tabulations and correlations as appropriate. Multilevel models (i.e., linear mixed models) will be used to estimate the effects of patient safety climate on standard precaution adherence and on HCW and patient outcomes after controlling hospital teaching status, bed size, rural-urban status and nursing skill mix."
Dia & Co.,Wednesday,8/29/2018,Data Team Fall Intern,Website,New York,Fashion,Internship,"We’re looking for a data team intern to improve our understanding of who our most loyal customers are and to provide insights on how to grow customer loyalty. You will collaborate with a Machine Learning Engineer to extract, transform, explore, analyze, and interpret data. As part of the project you will stitch data together from multiple sources, create hypotheses, and perform a statistically sound analysis. At the end of the roughly 8 to 12-week internship, you will summarize your analysis and findings in a report to the entire data team."
Trinnacle Capital Advisors,Wednesday,8/29/2018,Data Science Fall Internships,Email,New York,Finance,Internship,"Advanced skills and experience in Python
Experience in R
Experience in supervised and unsupervised machine learning
Experience in or willingness to learn Spark/Hadoop/Hive/SQL
Strong statistical mindset
Solution oriented and creative problem solver
No previous financial knowledge required, but added bonus"
Flatiron Health,Wednesday,8/29/2018,Data Insights Engineer,Website,New York,Health,Internship,"Data Insights is an entrepreneurial group of engineers that join Flatiron product teams to facilitate the process of market fit discovery, rapid prototyping and iteration.  We use engineering and data science tools to unlock the most value from our data. We talk with clients, work with oncology experts and code in Python, SQL, R or whatever it takes to advance our goal of dramatically accelerating cancer research and improving patient care. This mix of technical skills and client empathy allows us to accelerate our product development process and to take our products to the next level.
"
Flatiron Health,Wednesday,8/29/2018,Security Engineer,Website,New York,Health,Full Time,"The security team at Flatiron works every day to protect the company against threats so that our employees can focus on helping to cure cancer. We create attack driven defenses, not compliance. We are always looking for new approaches to our work and have cultivated a meritocracy where the best ideas rise to the top of the pile. We focus on results and not just debate: in fact, we are often architects, designers and engineers (not just advisors). We build credibility through action and results.
"
"
Off the Hook Partners",Wednesday,8/29/2018,Fall Data Science Internship,Email,New York,Finance,Internship,"We are looking for the following:
The ability to employ deep learning techniques and optimization protocols in order to better predict the thoroughbred wagering and auction markets. A lot of what we do is akin to derivatives and portfolio theories, arbitrage, etc. maybe even some potential for time series analysis. 
Linear Modelling from a SQL database - We have a proprietary database that requires extracting relevant data, subsequent data wrangling, analysis, and visualization - typically done in python.
Integrative Software Development - We are looking for developers who have the ability to integrate the predictive modelling approaches from points 1 and 2 with api access and typical web protocols. Students interested in automated trading systems would be ideal.
"
Startup Cartography Project,Friday,9/7/2018,Data Scientist,Email,New York,Finance,Full Time,"Experience collecting and working with qualitative and quantitative data.
Detail-oriented and high standards for work quality.
Enrollment in, or completion of a master’s degree program, in a related discipline.
Strong writing skills
Strong communication skills
Preferred Qualifications:
Experience with the analysis of quantitative data.
Knowledge of academic research."
